review_es,sentiment
"¡Esta película es horrible, ni siquiera puedo molestarme en escribir una reseña en esta basura!Todo lo que diré, es una de las películas más aburridas que he visto en mi vida. Y la actuación es muy mala.El niño que juega el personaje principal realmente me molesta, tiene la misma expresión en su rostro a través de la película.¡Solo quiero abofetearlo!Básicamente, el 80% de la película es una cámara lenta de skateboarders, música extraña, y absolutamente sh * t. Aparentemente tengo que escribir al menos 10 líneas de texto para enviar este comentario, así que usaré un poco más.Líneas diciendo que el personaje principal tiene una de esas caras que solo quieres abofetear! Meh me rindo ... ¡esta película chupa !!!!",negative
"Why do movie makers always go against the author's work? I mean, yes, things have to be condensed for the sake of viewer interest, but look at Anne of Green Gables They did a wonderful job of combining important events into a cohesive whole that was simply delightful I can't believe that they chose to combine three novels together for Anne of Avonlea into such a dreadful mess Look at all they missed out on by doing that    Paul Irving, little Elizabeth, the widows, Windy Poplars    and Anne's college years, for heaven's sake!!! Wouldn't it have been delightful to meet Priscilla and all the rest of the Redmond gang? Kevin Sullivan should have taken things one movie at a time, instead of jumbling them all together and combining characters and events the way he did This movie was good, if you leave the novels out of it!! But LM Montgomery's beautiful work is something that should not be denied This movie was a let down after seeing the successful way he brough Anne of Green Gables to life",negative
"No puedo creer que aquellos alabando esta película aquí no estén pensando en alguna otra película.Estaba preparado para la posibilidad de que esto fuera horrible, pero el guión (o la falta de ella) hace que una película también sea sin sentido.En el lado positivo, el nivel general de embarcaciones por parte de los actores y la tripulación técnica es bastante competente, pero cuando tiene la oreja de la cerda para trabajar con usted, no puede hacer un bolso de seda.Los fanáticos de Ben G deben atenerse a casi cualquier otra película que haya estado. Los fanáticos de Dorothy s deben atarse a Galaxina.Los fanáticos de Peter B deberían atenerse a la última película y destino.Los fanáticos de las risas baratas a expensas de aquellos que parecen estar pidiendo que deberían atenerse al libro increíblemente terrible de Peter B, matando al unicornio.",negative
"Esta película realmente usó sus ubicaciones bien con algunas tomas increíbles, oscuras e inquietantes, la película se mueve muy lentamente, pero lo mantiene constantemente.El amor moderno funcionó bien en el programa fantástico de la película de la Costa de Oro este año ofreciendo audiencias un vistazo a un cine australiano que generalmente se descuida.Lo más importante es que es refrescante ver al cine australiano que no asume los personajes de Cliché Aussie y las líneas de cuentos que hemos visto hasta morir a lo largo de los años.Esta película complementaría cualquier festival y abrirá el debate después de sus proyecciones.Las actuaciones y los personajes están bien desarrollados, y la cinematografía es fantástica.Una exploración interesante en las relaciones familiares y en los entornos.",positive
"De manera extraña, esta película nunca llegó a la pantalla grande en Dinamarca, así que tuve que esperar a la liberación de video.Mis expectativas donde están altas, pero de ninguna manera decepcionadas de ninguna manera.Como siempre con Ang Lee hay una actuación fantástica, una parcela inteligente y emocionante que te ha adivinado hasta el final y la excelente filmación.Junto con lo antebado, esto es fácilmente uno de los dos mejores occidentales de los 90..People que esperan algo a lo largo de la línea de Mel Gibson en el Patriota (Corny) o Braveheart (aceptable) se decepcionarán con problemas, todos los demás que aprecian lo anterior.Las cualidades mencionadas tendrán un tiempo fantástico observándolo.9 de 10.",positive
"Esta película es tan mala: diálogos, historia, actores y actrices, ¡todo!- Que es difícil imaginar que veremos una pelicula peor este año o en los años siguientes.""El hermano del amor"" (ubicado en Australia entre inmigrantes italianos) no tiene nada más que un clichés superficial sobre la cultura italiana para ofrecer, y está diciendo que incluso los italianos de Italia hablan inglés en la película.El mensaje de la película: las personas feas tienen que casarse con las personas feas, las personas hermosas tienen que casarse con las personas hermosas, es verdaderamente incómodo.Giovanni Ribisi es bastante bueno en películas como 'Suburbia' o 'Perdido en la traducción', pero aquí su acento pseudo-italiano es difícil de soportar.Vea esta película bajo su propio riesgo.¡Basura como basura!",negative
"No dejo comentarios de IMDB sobre películas, pero esta película fue mala.muy mal.Me reenvié rápido a la mayor parte de ella, detengo donde esperaba que la actuación tuviera mejorado desde la última escena, solo para continuar con los adelantos rápidos.Parcela de fórmula: una vez que los asesinos obvios se descontaron, solo quedaba el único.Y eso fue en los primeros cinco minutos.Escena por escena Se sentía como si ya había leído el guión antes porque no había sorpresas, sin misterio.El personaje de Tori ... mala mala actuación.Una verdadera pérdida de tiempo en DVD y una opción definida 'vamos a la cama temprano' si es lo único en la televisión.Si observa esta película, se encontrará dándose cuenta de que nunca podrás recuperar el tiempo que acabas de desperdiciar.",negative
"En Nordestina, un pueblo en medio de la nada en Pernambuco, Antônio (Gustavo Falcão) es el hijo menor de su madre, que había llorado ininterrumpidamente durante cinco años. Cuando él es un hombre joven, se enamore de Karina (Mariana Ximenes), un adolescente de diecisiete años que sueña con ver al mundo y se convierte en una actriz. Antônio promete a Karina para traer al mundo a Nordestina, y una vez en Río de Janeiro, participa en un show de televisión sensacionalista y promete viajar a los cincuenta años por delante en el futuro o morir por amor con una máquina mortal que había inventado. Cincuenta años después, Antônio (Paulo Autran) trata de arreglar lo que estaba mal en su viaje. ""Una Máquina"" es una de las mejores películas brasileñas que he visto recientemente. La historia refrescante y original es una fábrica poética y mágica del amor que sin duda emocionará el espectador más escéptico y resistente, en un romance único. La dirección es excelente; El guión es increíble; La cinematografía y los colores son magníficos; El fundido liderado por Gustavo Falcão, el icono Paulo Autran y Mariana Ximenes es fantástico, con líneas maravillosas; La banda sonora tiene algunas hermosas canciones brasileñas que destacan a Geraldo Azevedo y el ""Dia Branco"" de Roche Rocha. Si esta película se distribuye en el extranjero, me empujará y alquile o compre el DVD porque apuesto a que le encantará la historia que le llevará a las lágrimas. Mi voto es nueve.Title (Brasil): ""A Máquina - O Combustível É O Amor"" (""La máquina - El combustible es amor"")",positive
"""Me gusta mejor el perfume barato; no dura tan largo ..."" - El personaje de convicto de Ralph Meeker (Lawson) le dice a esto al personaje de Helen de Barbara Stanwyck, después de que recibe un bifer del perfume que escogió con su marido.En Tijuana ...!Esta línea me rompió, y también parecía una metáfora para esta película, que barato es mejor que el costoso, porque un hombre barato amante de perfumes que tiene una manera con un 2 x 4 es un mejor hombre para tener a largo plazo.!Estoy de acuerdo con algunos de los otros comentarios publicados sobre la atracción de Helen a Lawson.A pesar de que su narración afirma que ella quiere que lawson se desvanezca, ella pareció atraída por su naturaleza ardiente, y esa pasión que se agitó en ella, ¡probablemente la lavaría con la marea!",positive
"Soy un gran fanático de Harald Zwart, y solo sabía que tenía que ver esta película, aunque no puedo decir que soy un fanático del fútbol.Pero ver esto, solo llenó mi corazón con alegría, y lo pasé muy bien en las películas que lo miras. Bjørn Fast Nagell hace un tremendo trabajo que dirige esta película, y aunque se note que los personajes principales son nuevos en la actuación, crecen con elPelícula y lo hace lo que es.A pesar de que se supone que es una película de fútbol, es sorprendentemente poco fútbol en ella.Toda la idea es mostrar a los seis chicos que conforman la palabra n o r w a y en su viaje a la Copa del Mundo en el fútbol jugando en Alemania este año.Si solo vas a ver una película noruega este año, este es el ...",positive
